
$ learning
The learning mode will be enabled, you'll need to reboot the board to return to normal operation
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -61.23
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -61.23
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -61.23
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 0.00
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 0.59
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -60.94
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.59
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -61.23
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.68
3 0.00
4 -62.40
5 -128.61
6 -0.59
7 -61.23
8 -128.61
9 -0.29
10 -70.31
11 -123.93
0 0.29
1 -79.69
2 -125.39
3 0.00
4 -62.40
5 -128.61
6 -0.59
